New claim date,Type,Subgroup,Initial claims
08/26/2007,Initial claims by age,Under 20,58
09/02/2007,Initial claims by age,Under 20,48
09/09/2007,Initial claims by age,Under 20,39
09/16/2007,Initial claims by age,Under 20,37
09/23/2007,Initial claims by age,Under 20,36
09/30/2007,Initial claims by age,Under 20,31
10/07/2007,Initial claims by age,Under 20,85
10/14/2007,Initial claims by age,Under 20,54
10/21/2007,Initial claims by age,Under 20,48
10/28/2007,Initial claims by age,Under 20,50
11/04/2007,Initial claims by age,Under 20,61
11/11/2007,Initial claims by age,Under 20,60
11/18/2007,Initial claims by age,Under 20,48
11/25/2007,Initial claims by age,Under 20,54
12/02/2007,Initial claims by age,Under 20,78
12/09/2007,Initial claims by age,Under 20,64
12/16/2007,Initial claims by age,Under 20,85
12/23/2007,Initial claims by age,Under 20,164
12/30/2007,Initial claims by age,Under 20,49
01/06/2008,Initial claims by age,Under 20,189
01/13/2008,Initial claims by age,Under 20,91
01/20/2008,Initial claims by age,Under 20,80
01/27/2008,Initial claims by age,Under 20,87
02/03/2008,Initial claims by age,Under 20,64
02/10/2008,Initial claims by age,Under 20,50
02/17/2008,Initial claims by age,Under 20,59
02/24/2008,Initial claims by age,Under 20,74
03/02/2008,Initial claims by age,Under 20,56
03/09/2008,Initial claims by age,Under 20,41
03/16/2008,Initial claims by age,Under 20,35
03/23/2008,Initial claims by age,Under 20,50
03/30/2008,Initial claims by age,Under 20,29
04/06/2008,Initial claims by age,Under 20,103
04/13/2008,Initial claims by age,Under 20,76
04/20/2008,Initial claims by age,Under 20,48
04/27/2008,Initial claims by age,Under 20,45
05/04/2008,Initial claims by age,Under 20,53
05/11/2008,Initial claims by age,Under 20,46
05/18/2008,Initial claims by age,Under 20,54
05/25/2008,Initial claims by age,Under 20,45
06/01/2008,Initial claims by age,Under 20,51
06/08/2008,Initial claims by age,Under 20,62
06/15/2008,Initial claims by age,Under 20,56
06/22/2008,Initial claims by age,Under 20,44
06/29/2008,Initial claims by age,Under 20,43
07/06/2008,Initial claims by age,Under 20,93
07/13/2008,Initial claims by age,Under 20,65
07/20/2008,Initial claims by age,Under 20,72
07/27/2008,Initial claims by age,Under 20,67
08/03/2008,Initial claims by age,Under 20,91
08/10/2008,Initial claims by age,Under 20,64
08/17/2008,Initial claims by age,Under 20,53
08/24/2008,Initial claims by age,Under 20,49
08/31/2008,Initial claims by age,Under 20,47
09/07/2008,Initial claims by age,Under 20,78
09/14/2008,Initial claims by age,Under 20,48
09/21/2008,Initial claims by age,Under 20,42
09/28/2008,Initial claims by age,Under 20,39
10/05/2008,Initial claims by age,Under 20,114
10/12/2008,Initial claims by age,Under 20,53
10/19/2008,Initial claims by age,Under 20,80
10/26/2008,Initial claims by age,Under 20,64
11/02/2008,Initial claims by age,Under 20,77
11/09/2008,Initial claims by age,Under 20,64
11/16/2008,Initial claims by age,Under 20,77
11/23/2008,Initial claims by age,Under 20,75
11/30/2008,Initial claims by age,Under 20,53
12/07/2008,Initial claims by age,Under 20,96
12/14/2008,Initial claims by age,Under 20,88
12/21/2008,Initial claims by age,Under 20,145
12/28/2008,Initial claims by age,Under 20,89
01/04/2009,Initial claims by age,Under 20,187
01/11/2009,Initial claims by age,Under 20,112
01/18/2009,Initial claims by age,Under 20,118
01/25/2009,Initial claims by age,Under 20,131
02/01/2009,Initial claims by age,Under 20,107
02/08/2009,Initial claims by age,Under 20,105
02/15/2009,Initial claims by age,Under 20,109
02/22/2009,Initial claims by age,Under 20,98
03/01/2009,Initial claims by age,Under 20,73
03/08/2009,Initial claims by age,Under 20,75
03/15/2009,Initial claims by age,Under 20,84
03/22/2009,Initial claims by age,Under 20,74
03/29/2009,Initial claims by age,Under 20,66
04/05/2009,Initial claims by age,Under 20,134
04/12/2009,Initial claims by age,Under 20,72
04/19/2009,Initial claims by age,Under 20,84
04/26/2009,Initial claims by age,Under 20,74
05/03/2009,Initial claims by age,Under 20,72
05/10/2009,Initial claims by age,Under 20,70
05/17/2009,Initial claims by age,Under 20,69
05/24/2009,Initial claims by age,Under 20,56
05/31/2009,Initial claims by age,Under 20,89
06/07/2009,Initial claims by age,Under 20,74
06/14/2009,Initial claims by age,Under 20,68
06/21/2009,Initial claims by age,Under 20,66
06/28/2009,Initial claims by age,Under 20,41
07/05/2009,Initial claims by age,Under 20,124
07/12/2009,Initial claims by age,Under 20,73
07/19/2009,Initial claims by age,Under 20,96
07/26/2009,Initial claims by age,Under 20,71
08/02/2009,Initial claims by age,Under 20,89
08/09/2009,Initial claims by age,Under 20,65
08/16/2009,Initial claims by age,Under 20,82
08/23/2009,Initial claims by age,Under 20,60
08/30/2009,Initial claims by age,Under 20,59
09/06/2009,Initial claims by age,Under 20,49
09/13/2009,Initial claims by age,Under 20,59
09/20/2009,Initial claims by age,Under 20,60
09/27/2009,Initial claims by age,Under 20,58
10/04/2009,Initial claims by age,Under 20,118
10/11/2009,Initial claims by age,Under 20,63
10/18/2009,Initial claims by age,Under 20,84
10/25/2009,Initial claims by age,Under 20,74
11/01/2009,Initial claims by age,Under 20,71
11/08/2009,Initial claims by age,Under 20,71
11/15/2009,Initial claims by age,Under 20,58
11/22/2009,Initial claims by age,Under 20,64
11/29/2009,Initial claims by age,Under 20,76
12/06/2009,Initial claims by age,Under 20,116
12/13/2009,Initial claims by age,Under 20,73
12/20/2009,Initial claims by age,Under 20,94
12/27/2009,Initial claims by age,Under 20,56
01/03/2010,Initial claims by age,Under 20,178
01/10/2010,Initial claims by age,Under 20,117
01/17/2010,Initial claims by age,Under 20,121
01/24/2010,Initial claims by age,Under 20,109
01/31/2010,Initial claims by age,Under 20,108
02/07/2010,Initial claims by age,Under 20,66
02/14/2010,Initial claims by age,Under 20,84
02/21/2010,Initial claims by age,Under 20,76
02/28/2010,Initial claims by age,Under 20,76
03/07/2010,Initial claims by age,Under 20,73
03/14/2010,Initial claims by age,Under 20,60
03/21/2010,Initial claims by age,Under 20,72
03/28/2010,Initial claims by age,Under 20,65
04/04/2010,Initial claims by age,Under 20,122
04/11/2010,Initial claims by age,Under 20,78
04/18/2010,Initial claims by age,Under 20,82
04/25/2010,Initial claims by age,Under 20,81
05/02/2010,Initial claims by age,Under 20,42
05/09/2010,Initial claims by age,Under 20,63
05/16/2010,Initial claims by age,Under 20,65
05/23/2010,Initial claims by age,Under 20,57
05/30/2010,Initial claims by age,Under 20,51
06/06/2010,Initial claims by age,Under 20,57
06/13/2010,Initial claims by age,Under 20,43
06/20/2010,Initial claims by age,Under 20,45
06/27/2010,Initial claims by age,Under 20,25
07/04/2010,Initial claims by age,Under 20,95
07/11/2010,Initial claims by age,Under 20,65
07/18/2010,Initial claims by age,Under 20,65
07/25/2010,Initial claims by age,Under 20,59
08/01/2010,Initial claims by age,Under 20,97
08/08/2010,Initial claims by age,Under 20,63
08/15/2010,Initial claims by age,Under 20,64
08/22/2010,Initial claims by age,Under 20,54
08/29/2010,Initial claims by age,Under 20,48
09/05/2010,Initial claims by age,Under 20,38
09/12/2010,Initial claims by age,Under 20,68
09/19/2010,Initial claims by age,Under 20,47
09/26/2010,Initial claims by age,Under 20,46
10/03/2010,Initial claims by age,Under 20,100
10/10/2010,Initial claims by age,Under 20,53
10/17/2010,Initial claims by age,Under 20,68
10/24/2010,Initial claims by age,Under 20,78
10/31/2010,Initial claims by age,Under 20,74
11/07/2010,Initial claims by age,Under 20,51
11/14/2010,Initial claims by age,Under 20,76
11/21/2010,Initial claims by age,Under 20,43
11/28/2010,Initial claims by age,Under 20,44
12/05/2010,Initial claims by age,Under 20,56
12/12/2010,Initial claims by age,Under 20,56
12/19/2010,Initial claims by age,Under 20,75
12/26/2010,Initial claims by age,Under 20,60
01/02/2011,Initial claims by age,Under 20,153
01/09/2011,Initial claims by age,Under 20,85
01/16/2011,Initial claims by age,Under 20,73
01/23/2011,Initial claims by age,Under 20,77
01/30/2011,Initial claims by age,Under 20,81
02/06/2011,Initial claims by age,Under 20,82
02/13/2011,Initial claims by age,Under 20,73
02/20/2011,Initial claims by age,Under 20,80
02/27/2011,Initial claims by age,Under 20,48
03/06/2011,Initial claims by age,Under 20,57
03/13/2011,Initial claims by age,Under 20,50
03/20/2011,Initial claims by age,Under 20,41
03/27/2011,Initial claims by age,Under 20,36
04/03/2011,Initial claims by age,Under 20,97
04/10/2011,Initial claims by age,Under 20,51
04/17/2011,Initial claims by age,Under 20,59
04/24/2011,Initial claims by age,Under 20,44
05/01/2011,Initial claims by age,Under 20,69
05/08/2011,Initial claims by age,Under 20,52
05/15/2011,Initial claims by age,Under 20,45
05/22/2011,Initial claims by age,Under 20,47
05/29/2011,Initial claims by age,Under 20,41
06/05/2011,Initial claims by age,Under 20,39
06/12/2011,Initial claims by age,Under 20,35
06/19/2011,Initial claims by age,Under 20,36
06/26/2011,Initial claims by age,Under 20,38
07/03/2011,Initial claims by age,Under 20,95
07/10/2011,Initial claims by age,Under 20,55
07/17/2011,Initial claims by age,Under 20,60
07/24/2011,Initial claims by age,Under 20,55
07/31/2011,Initial claims by age,Under 20,70
08/07/2011,Initial claims by age,Under 20,56
08/14/2011,Initial claims by age,Under 20,49
08/21/2011,Initial claims by age,Under 20,53
08/28/2011,Initial claims by age,Under 20,61
09/04/2011,Initial claims by age,Under 20,43
09/11/2011,Initial claims by age,Under 20,45
09/18/2011,Initial claims by age,Under 20,46
09/25/2011,Initial claims by age,Under 20,32
10/09/2011,Initial claims by age,Under 20,115
10/16/2011,Initial claims by age,Under 20,43
10/23/2011,Initial claims by age,Under 20,47
10/30/2011,Initial claims by age,Under 20,152
11/06/2011,Initial claims by age,Under 20,21
11/13/2011,Initial claims by age,Under 20,39
11/20/2011,Initial claims by age,Under 20,38
11/27/2011,Initial claims by age,Under 20,46
12/04/2011,Initial claims by age,Under 20,48
12/11/2011,Initial claims by age,Under 20,57
12/18/2011,Initial claims by age,Under 20,54
12/25/2011,Initial claims by age,Under 20,92
01/08/2012,Initial claims by age,Under 20,209
01/15/2012,Initial claims by age,Under 20,75
01/22/2012,Initial claims by age,Under 20,78
01/29/2012,Initial claims by age,Under 20,62
02/05/2012,Initial claims by age,Under 20,74
02/12/2012,Initial claims by age,Under 20,45
02/19/2012,Initial claims by age,Under 20,40
02/26/2012,Initial claims by age,Under 20,57
03/04/2012,Initial claims by age,Under 20,48
03/11/2012,Initial claims by age,Under 20,44
03/18/2012,Initial claims by age,Under 20,38
03/25/2012,Initial claims by age,Under 20,26
04/08/2012,Initial claims by age,Under 20,103
04/15/2012,Initial claims by age,Under 20,51
04/22/2012,Initial claims by age,Under 20,43
04/29/2012,Initial claims by age,Under 20,43
05/06/2012,Initial claims by age,Under 20,49
05/13/2012,Initial claims by age,Under 20,44
05/20/2012,Initial claims by age,Under 20,45
05/27/2012,Initial claims by age,Under 20,21
06/03/2012,Initial claims by age,Under 20,41
06/10/2012,Initial claims by age,Under 20,43
06/17/2012,Initial claims by age,Under 20,43
06/24/2012,Initial claims by age,Under 20,27
07/08/2012,Initial claims by age,Under 20,158
07/15/2012,Initial claims by age,Under 20,50
07/22/2012,Initial claims by age,Under 20,39
07/29/2012,Initial claims by age,Under 20,47
08/05/2012,Initial claims by age,Under 20,48
08/12/2012,Initial claims by age,Under 20,40
08/19/2012,Initial claims by age,Under 20,43
08/26/2012,Initial claims by age,Under 20,38
09/02/2012,Initial claims by age,Under 20,33
09/09/2012,Initial claims by age,Under 20,39
09/16/2012,Initial claims by age,Under 20,45
09/23/2012,Initial claims by age,Under 20,39
09/30/2012,Initial claims by age,Under 20,30
10/07/2012,Initial claims by age,Under 20,87
10/14/2012,Initial claims by age,Under 20,47
10/21/2012,Initial claims by age,Under 20,49
10/28/2012,Initial claims by age,Under 20,64
11/04/2012,Initial claims by age,Under 20,31
11/11/2012,Initial claims by age,Under 20,43
11/18/2012,Initial claims by age,Under 20,37
11/25/2012,Initial claims by age,Under 20,39
12/02/2012,Initial claims by age,Under 20,44
12/09/2012,Initial claims by age,Under 20,45
12/16/2012,Initial claims by age,Under 20,53
12/23/2012,Initial claims by age,Under 20,105
12/30/2012,Initial claims by age,Under 20,31
01/06/2013,Initial claims by age,Under 20,171
01/13/2013,Initial claims by age,Under 20,64
01/20/2013,Initial claims by age,Under 20,57
01/27/2013,Initial claims by age,Under 20,56
02/03/2013,Initial claims by age,Under 20,44
02/10/2013,Initial claims by age,Under 20,32
02/17/2013,Initial claims by age,Under 20,38
02/24/2013,Initial claims by age,Under 20,35
03/03/2013,Initial claims by age,Under 20,36
03/10/2013,Initial claims by age,Under 20,23
03/17/2013,Initial claims by age,Under 20,26
03/24/2013,Initial claims by age,Under 20,28
03/31/2013,Initial claims by age,Under 20,17
04/07/2013,Initial claims by age,Under 20,87
04/14/2013,Initial claims by age,Under 20,43
04/21/2013,Initial claims by age,Under 20,21
04/28/2013,Initial claims by age,Under 20,34
05/05/2013,Initial claims by age,Under 20,35
05/12/2013,Initial claims by age,Under 20,40
05/19/2013,Initial claims by age,Under 20,33
05/26/2013,Initial claims by age,Under 20,27
06/02/2013,Initial claims by age,Under 20,30
06/09/2013,Initial claims by age,Under 20,41
06/16/2013,Initial claims by age,Under 20,30
06/23/2013,Initial claims by age,Under 20,30
06/30/2013,Initial claims by age,Under 20,47
07/07/2013,Initial claims by age,Under 20,71
07/14/2013,Initial claims by age,Under 20,36
07/21/2013,Initial claims by age,Under 20,36
07/28/2013,Initial claims by age,Under 20,40
08/04/2013,Initial claims by age,Under 20,40
08/11/2013,Initial claims by age,Under 20,31
08/18/2013,Initial claims by age,Under 20,34
08/25/2013,Initial claims by age,Under 20,34
09/01/2013,Initial claims by age,Under 20,18
09/08/2013,Initial claims by age,Under 20,27
09/15/2013,Initial claims by age,Under 20,30
09/22/2013,Initial claims by age,Under 20,19
09/29/2013,Initial claims by age,Under 20,26
10/06/2013,Initial claims by age,Under 20,56
10/13/2013,Initial claims by age,Under 20,33
10/20/2013,Initial claims by age,Under 20,59
10/27/2013,Initial claims by age,Under 20,41
11/03/2013,Initial claims by age,Under 20,48
11/10/2013,Initial claims by age,Under 20,24
11/17/2013,Initial claims by age,Under 20,33
11/24/2013,Initial claims by age,Under 20,35
12/01/2013,Initial claims by age,Under 20,42
12/08/2013,Initial claims by age,Under 20,48
12/15/2013,Initial claims by age,Under 20,48
12/22/2013,Initial claims by age,Under 20,92
12/29/2013,Initial claims by age,Under 20,19
01/05/2014,Initial claims by age,Under 20,149
01/12/2014,Initial claims by age,Under 20,61
01/19/2014,Initial claims by age,Under 20,49
01/26/2014,Initial claims by age,Under 20,66
02/02/2014,Initial claims by age,Under 20,45
02/09/2014,Initial claims by age,Under 20,23
02/16/2014,Initial claims by age,Under 20,33
02/23/2014,Initial claims by age,Under 20,18
03/02/2014,Initial claims by age,Under 20,29
03/09/2014,Initial claims by age,Under 20,29
03/16/2014,Initial claims by age,Under 20,19
03/23/2014,Initial claims by age,Under 20,31
03/30/2014,Initial claims by age,Under 20,17
04/06/2014,Initial claims by age,Under 20,71
04/13/2014,Initial claims by age,Under 20,32
04/20/2014,Initial claims by age,Under 20,25
04/27/2014,Initial claims by age,Under 20,33
05/04/2014,Initial claims by age,Under 20,33
05/11/2014,Initial claims by age,Under 20,27
05/18/2014,Initial claims by age,Under 20,27
05/25/2014,Initial claims by age,Under 20,21
06/01/2014,Initial claims by age,Under 20,42
06/08/2014,Initial claims by age,Under 20,22
06/15/2014,Initial claims by age,Under 20,21
06/22/2014,Initial claims by age,Under 20,22
06/29/2014,Initial claims by age,Under 20,30
07/06/2014,Initial claims by age,Under 20,69
07/13/2014,Initial claims by age,Under 20,38
07/20/2014,Initial claims by age,Under 20,48
07/27/2014,Initial claims by age,Under 20,39
08/03/2014,Initial claims by age,Under 20,29
08/10/2014,Initial claims by age,Under 20,21
08/17/2014,Initial claims by age,Under 20,40
08/24/2014,Initial claims by age,Under 20,35
08/31/2014,Initial claims by age,Under 20,24
09/07/2014,Initial claims by age,Under 20,31
09/14/2014,Initial claims by age,Under 20,17
09/21/2014,Initial claims by age,Under 20,27
09/28/2014,Initial claims by age,Under 20,20
10/05/2014,Initial claims by age,Under 20,63
10/12/2014,Initial claims by age,Under 20,28
10/19/2014,Initial claims by age,Under 20,40
10/26/2014,Initial claims by age,Under 20,22
11/02/2014,Initial claims by age,Under 20,38
11/09/2014,Initial claims by age,Under 20,29
11/16/2014,Initial claims by age,Under 20,37
11/23/2014,Initial claims by age,Under 20,25
11/30/2014,Initial claims by age,Under 20,31
12/07/2014,Initial claims by age,Under 20,32
12/14/2014,Initial claims by age,Under 20,50
12/21/2014,Initial claims by age,Under 20,66
12/28/2014,Initial claims by age,Under 20,24
01/04/2015,Initial claims by age,Under 20,117
01/11/2015,Initial claims by age,Under 20,51
01/18/2015,Initial claims by age,Under 20,58
01/25/2015,Initial claims by age,Under 20,44
02/01/2015,Initial claims by age,Under 20,40
02/08/2015,Initial claims by age,Under 20,33
02/15/2015,Initial claims by age,Under 20,42
02/22/2015,Initial claims by age,Under 20,34
03/01/2015,Initial claims by age,Under 20,32
03/08/2015,Initial claims by age,Under 20,20
03/15/2015,Initial claims by age,Under 20,21
03/22/2015,Initial claims by age,Under 20,15
03/29/2015,Initial claims by age,Under 20,11
04/05/2015,Initial claims by age,Under 20,52
04/12/2015,Initial claims by age,Under 20,34
04/19/2015,Initial claims by age,Under 20,28
04/26/2015,Initial claims by age,Under 20,26
05/03/2015,Initial claims by age,Under 20,26
05/10/2015,Initial claims by age,Under 20,25
05/17/2015,Initial claims by age,Under 20,22
05/24/2015,Initial claims by age,Under 20,24
05/31/2015,Initial claims by age,Under 20,15
06/07/2015,Initial claims by age,Under 20,26
06/14/2015,Initial claims by age,Under 20,18
06/21/2015,Initial claims by age,Under 20,19
06/28/2015,Initial claims by age,Under 20,14
07/05/2015,Initial claims by age,Under 20,53
07/12/2015,Initial claims by age,Under 20,34
07/19/2015,Initial claims by age,Under 20,29
07/26/2015,Initial claims by age,Under 20,32
08/02/2015,Initial claims by age,Under 20,26
08/09/2015,Initial claims by age,Under 20,23
08/16/2015,Initial claims by age,Under 20,30
08/23/2015,Initial claims by age,Under 20,32
08/30/2015,Initial claims by age,Under 20,27
09/06/2015,Initial claims by age,Under 20,20
09/13/2015,Initial claims by age,Under 20,22
09/20/2015,Initial claims by age,Under 20,19
09/27/2015,Initial claims by age,Under 20,17
10/04/2015,Initial claims by age,Under 20,64
10/11/2015,Initial claims by age,Under 20,29
10/18/2015,Initial claims by age,Under 20,31
10/25/2015,Initial claims by age,Under 20,20
11/01/2015,Initial claims by age,Under 20,36
11/08/2015,Initial claims by age,Under 20,21
11/15/2015,Initial claims by age,Under 20,24
11/22/2015,Initial claims by age,Under 20,24
11/29/2015,Initial claims by age,Under 20,27
12/06/2015,Initial claims by age,Under 20,47
12/13/2015,Initial claims by age,Under 20,31
12/20/2015,Initial claims by age,Under 20,36
12/27/2015,Initial claims by age,Under 20,21
01/03/2016,Initial claims by age,Under 20,99
01/10/2016,Initial claims by age,Under 20,31
01/17/2016,Initial claims by age,Under 20,40
01/24/2016,Initial claims by age,Under 20,26
01/31/2016,Initial claims by age,Under 20,32
02/07/2016,Initial claims by age,Under 20,24
02/14/2016,Initial claims by age,Under 20,26
02/21/2016,Initial claims by age,Under 20,21
02/28/2016,Initial claims by age,Under 20,31
03/06/2016,Initial claims by age,Under 20,21
03/13/2016,Initial claims by age,Under 20,21
03/20/2016,Initial claims by age,Under 20,11
03/27/2016,Initial claims by age,Under 20,18
04/03/2016,Initial claims by age,Under 20,51
04/10/2016,Initial claims by age,Under 20,18
04/17/2016,Initial claims by age,Under 20,14
04/24/2016,Initial claims by age,Under 20,21
05/01/2016,Initial claims by age,Under 20,35
05/08/2016,Initial claims by age,Under 20,26
05/15/2016,Initial claims by age,Under 20,22
05/22/2016,Initial claims by age,Under 20,27
05/29/2016,Initial claims by age,Under 20,16
06/05/2016,Initial claims by age,Under 20,23
06/12/2016,Initial claims by age,Under 20,19
06/19/2016,Initial claims by age,Under 20,32
06/26/2016,Initial claims by age,Under 20,18
07/03/2016,Initial claims by age,Under 20,40
07/10/2016,Initial claims by age,Under 20,29
07/17/2016,Initial claims by age,Under 20,38
07/24/2016,Initial claims by age,Under 20,19
07/31/2016,Initial claims by age,Under 20,30
08/07/2016,Initial claims by age,Under 20,27
08/14/2016,Initial claims by age,Under 20,36
08/21/2016,Initial claims by age,Under 20,24
08/28/2016,Initial claims by age,Under 20,24
09/04/2016,Initial claims by age,Under 20,19
09/11/2016,Initial claims by age,Under 20,20
09/18/2016,Initial claims by age,Under 20,23
09/25/2016,Initial claims by age,Under 20,18
10/02/2016,Initial claims by age,Under 20,33
10/09/2016,Initial claims by age,Under 20,27
10/16/2016,Initial claims by age,Under 20,25
10/23/2016,Initial claims by age,Under 20,32
10/30/2016,Initial claims by age,Under 20,25
11/06/2016,Initial claims by age,Under 20,29
11/13/2016,Initial claims by age,Under 20,39
11/20/2016,Initial claims by age,Under 20,24
11/27/2016,Initial claims by age,Under 20,33
12/04/2016,Initial claims by age,Under 20,37
12/11/2016,Initial claims by age,Under 20,54
12/18/2016,Initial claims by age,Under 20,57
12/25/2016,Initial claims by age,Under 20,49
01/08/2017,Initial claims by age,Under 20,190
01/15/2017,Initial claims by age,Under 20,39
01/22/2017,Initial claims by age,Under 20,42
01/29/2017,Initial claims by age,Under 20,33
02/05/2017,Initial claims by age,Under 20,41
02/12/2017,Initial claims by age,Under 20,43
02/19/2017,Initial claims by age,Under 20,39
02/26/2017,Initial claims by age,Under 20,21
03/05/2017,Initial claims by age,Under 20,25
03/12/2017,Initial claims by age,Under 20,18
03/19/2017,Initial claims by age,Under 20,28
03/26/2017,Initial claims by age,Under 20,16
04/02/2017,Initial claims by age,Under 20,38
04/09/2017,Initial claims by age,Under 20,20
04/16/2017,Initial claims by age,Under 20,19
04/23/2017,Initial claims by age,Under 20,17
04/30/2017,Initial claims by age,Under 20,22
